YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Detroit Lions,15,472,337,71.4,4095,8.7,82,33,10,206,43.6,56,27,203,112.2
2023,Detroit Lions,17,605,407,67.3,4575,7.6,70,30,12,227,37.5,69,30,197,97.9
2022,Detroit Lions,17,587,382,65.1,4438,7.6,81,29,7,227,38.7,57,23,156,99.3
2021,Detroit Lions,14,494,332,67.2,3245,6.6,63,19,8,162,32.8,39,35,280,91.5
2020,Los Angeles Rams,15,552,370,67.0,3952,7.2,56,20,13,194,35.1,47,23,161,90.0
2019,Los Angeles Rams,16,626,394,62.9,4638,7.4,66,22,16,220,35.1,72,22,170,86.5
2018,Los Angeles Rams,16,561,364,64.9,4688,8.4,70,32,12,233,41.5,69,33,223,101.1
2017,Los Angeles Rams,15,477,296,62.0,3804,8.0,94,28,7,176,36.9,54,25,172,100.5
2016,Los Angeles Rams,7,205,112,54.6,1089,5.3,66,5,7,47,22.9,12,26,222,63.6
TOTAL,,132,4579,2994,65.4,34524,7.5,94,218,92,1692,37.0,475,244,1784,95.5
